1.1515 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
5.6838 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
6.3139 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8311a7ef40>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f82c66d19d0>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.3142 	EXP 	window1: mouseVisible = True
6.3149 	EXP 	window1: mouseVisible = False
6.3149 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.3150 	EXP 	window1: recordFrameIntervals = False
6.4792 	EXP 	window1: recordFrameIntervals = True
6.6631 	EXP 	Screen (0) actual frame rate measured at 59.99Hz
6.6631 	EXP 	window1: recordFrameIntervals = False
8.3356 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
8.3427 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
8.3495 	EXP 	Imported /Users/tanmayikalapatapu/Downloads/Book 2.xlsx as conditions, 1 conditions, 5 params
8.4424 	EXP 	window1: recordFrameIntervals = False
8.4514 	EXP 	window1: recordFrameIntervals = False
9.4381 	EXP 	fixation: autoDraw = True
10.3461 	EXP 	grating: autoDraw = True
10.3461 	EXP 	grating: tex = 'sin'
10.4452 	EXP 	fixation: autoDraw = False
10.6453 	EXP 	grating: autoDraw = False
10.8403 	EXP 	window1: recordFrameIntervals = False
10.8458 	EXP 	fixation: autoDraw = False
10.8458 	EXP 	grating: autoDraw = False
10.8459 	EXP 	window1: recordFrameIntervals = False
11.7287 	DATA 	Keypress: right
11.8333 	EXP 	fixation: autoDraw = True
12.8454 	EXP 	fixation: autoDraw = False
12.8454 	EXP 	grating: autoDraw = True
12.8454 	EXP 	grating: tex = 'sin'
13.1451 	EXP 	grating: autoDraw = False
13.2143 	EXP 	window1: recordFrameIntervals = False
13.2168 	DATA 	Keypress: left
13.2289 	EXP 	fixation: autoDraw = False
13.2289 	EXP 	grating: autoDraw = False
13.2290 	EXP 	window1: recordFrameIntervals = False
14.2070 	EXP 	fixation: autoDraw = True
15.2122 	EXP 	fixation: autoDraw = False
15.2286 	EXP 	grating: autoDraw = True
15.2286 	EXP 	grating: tex = 'sin'
15.5287 	EXP 	grating: autoDraw = False
15.8317 	EXP 	window1: recordFrameIntervals = False
15.8502 	DATA 	Keypress: left
15.8550 	EXP 	fixation: autoDraw = False
